(in /Users/marcelomenezes/ruby_training/newstemplates)
+----------------------------------------------------+-------+-------+--------+
|                  File                              | Lines |  LOC  |  COV   |
|.../Ruby/Gems/1.8/gems/rubyzip-0.9.1/lib/zip/zip.rb |  1847 |  1396 |  23.9% |
|.../1.8/gems/rubyzip-0.9.1/lib/zip/zipfilesystem.rb |   609 |   436 |  31.4% |
|...Gems/1.8/gems/spicycode-rcov-0.8.2.1/lib/rcov.rb |   990 |   603 |   2.8% |
|.../gems/uuidtools-2.0.0/lib/compat/securerandom.rb |   202 |   113 |   8.0% |
|...y/Gems/1.8/gems/uuidtools-2.0.0/lib/uuidtools.rb |   590 |   457 |  20.6% |
|....8/gems/uuidtools-2.0.0/lib/uuidtools/version.rb |    35 |    10 | 100.0% |
|/Library/Ruby/Site/1.8/rubygems/dependency_list.rb  |   165 |   104 |  25.0% |
|...1.8/gems/actionmailer-2.1.0/lib/action_mailer.rb |    52 |    23 |  65.2% |
|...ler-2.1.0/lib/action_mailer/adv_attr_accessor.rb |    30 |    27 |  55.6% |
|...ems/actionmailer-2.1.0/lib/action_mailer/base.rb |   646 |   253 |  35.2% |
|.../actionmailer-2.1.0/lib/action_mailer/helpers.rb |   111 |    71 |  42.3% |
|...ionmailer-2.1.0/lib/action_mailer/mail_helper.rb |    19 |    13 |  23.1% |
|...ems/actionmailer-2.1.0/lib/action_mailer/part.rb |   110 |    67 |  26.9% |
|...mailer-2.1.0/lib/action_mailer/part_container.rb |    51 |    24 |  29.2% |
|.../actionmailer-2.1.0/lib/action_mailer/quoting.rb |    61 |    40 |  27.5% |
|...ctionmailer-2.1.0/lib/action_mailer/test_case.rb |    64 |    53 |  35.8% |
|...ionmailer-2.1.0/lib/action_mailer/test_helper.rb |    67 |    24 |  45.8% |
|...ms/actionmailer-2.1.0/lib/action_mailer/utils.rb |     8 |     8 |  75.0% |
|...s/actionmailer-2.1.0/lib/action_mailer/vendor.rb |    14 |    11 | 100.0% |
|...8/gems/actionpack-2.1.0/lib/action_controller.rb |    79 |    51 |  82.4% |
|...onpack-2.1.0/lib/action_controller/assertions.rb |    69 |    25 |  80.0% |
|...b/action_controller/assertions/dom_assertions.rb |    39 |    22 |  22.7% |
|...action_controller/assertions/model_assertions.rb |    20 |    11 |  36.4% |
|...ion_controller/assertions/response_assertions.rb |   172 |   115 |   9.6% |
|...tion_controller/assertions/routing_assertions.rb |   146 |    55 |  14.5% |
|...ion_controller/assertions/selector_assertions.rb |   643 |   299 |  13.7% |
|...b/action_controller/assertions/tag_assertions.rb |   130 |    22 |  31.8% |
|...s/actionpack-2.1.0/lib/action_controller/base.rb |  1270 |   516 |  52.9% |
|...pack-2.1.0/lib/action_controller/benchmarking.rb |    94 |    72 |  76.4% |
|...ctionpack-2.1.0/lib/action_controller/caching.rb |    72 |    40 |  67.5% |
|...k-2.1.0/lib/action_controller/caching/actions.rb |   144 |    86 |  36.0% |
|...2.1.0/lib/action_controller/caching/fragments.rb |   138 |    77 |  22.1% |
